Name,Date,Rank,3yr Rev Growth %,Revenue,Industry,Employees,City,State,Rev./Employee
DataXu,"new Date(2013,1,1)",5,213.37,87000000.0,Advertising & Marketing,220,Boston,MA,395454.545455
Emerge Digital Group,"new Date(2013,1,1)",8,170.64,23900000.0,Advertising & Marketing,75,San Francisco,CA,318666.666667
AdRoll,"new Date(2013,1,1)",12,150.65,34100000.0,Advertising & Marketing,165,San Francisco,CA,206666.666667
Sparc,"new Date(2013,1,1)",14,128.63,21100000.0,Software,160,Charleston,SC,131875.0
BlueKai,"new Date(2013,1,1)",20,92.45,26800000.0,Advertising & Marketing,107,Cupertino,CA,250467.28972
Trada,"new Date(2013,1,1)",27,81.01,12600000.0,Advertising & Marketing,75,Boulder,CO,168000.0
Kony,"new Date(2013,1,1)",28,77.86,51100000.0,Software,1100,Orlando,FL,46454.5454545
Sailthru,"new Date(2013,1,1)",30,73.22,8100000.0,Advertising & Marketing,79,New York,NY,102531.64557
Zurple,"new Date(2013,1,1)",33,71.12,7700000.0,Software,32,Carlsbad,CA,240625.0
YellowHammer,"new Date(2013,1,1)",37,67.4,18000000.0,Advertising & Marketing,27,New York,NY,666666.666667
Conductor,"new Date(2013,1,1)",38,67.02,7100000.0,Advertising & Marketing,89,New York,NY,79775.2808989
Phunware,"new Date(2013,1,1)",40,65.27,8200000.0,Software,92,Austin,TX,89130.4347826
29 Prime,"new Date(2013,1,1)",47,54.43,13800000.0,Advertising & Marketing,152,Irvine,CA,90789.4736842
Madwire Media,"new Date(2013,1,1)",51,52.54,6900000.0,Advertising & Marketing,94,Loveland,CO,73404.2553191
LabTech Software,"new Date(2013,1,1)",53,52.08,23100000.0,Software,152,Tampa,FL,151973.684211
Altitude Digital,"new Date(2013,1,1)",54,51.62,11400000.0,Advertising & Marketing,21,Denver,CO,542857.142857
Lead5 Media,"new Date(2013,1,1)",57,50.16,35600000.0,Advertising & Marketing,33,Newark,CA,1078787.87879
eGumball,"new Date(2013,1,1)",58,50.15,9600000.0,Advertising & Marketing,125,Irvine,CA,76800.0
HasOffers,"new Date(2013,1,1)",63,48.37,7300000.0,Advertising & Marketing,57,Seattle,WA,128070.175439
ReTargeter,"new Date(2013,1,1)",68,47.39,6500000.0,Advertising & Marketing,35,San Francisco,CA,185714.285714
C-4 Analytics,"new Date(2013,1,1)",69,46.46,4900000.0,Advertising & Marketing,32,Saugus,MA,153125.0
33Across,"new Date(2013,1,1)",70,44.99,27900000.0,Advertising & Marketing,75,New York,NY,372000.0
LiveIntent,"new Date(2013,1,1)",71,44.85,6900000.0,Advertising & Marketing,42,New York,NY,164285.714286
Rocket Fuel,"new Date(2013,1,1)",72,44.51,106600000.0,Advertising & Marketing,289,Redwood City,CA,368858.131488
SKM Media Group,"new Date(2013,1,1)",89,37.52,12000000.0,Advertising & Marketing,20,Boca Raton,FL,600000.0
CashStar,"new Date(2013,1,1)",103,34.14,9700000.0,Software,96,Portland,ME,101041.666667
WebiMax,"new Date(2013,1,1)",104,33.67,8400000.0,Advertising & Marketing,125,Mount Laurel,NJ,67200.0
Touchsuite,"new Date(2013,1,1)",105,33.38,13400000.0,Software,43,Boca Raton,FL,311627.906977
Acquia,"new Date(2013,1,1)",109,31.31,45400000.0,Software,263,Burlington,MA,172623.574144
Oceanhouse Media,"new Date(2013,1,1)",114,30.55,3900000.0,Software,10,Encinitas,CA,390000.0
Puppet Labs,"new Date(2013,1,1)",120,29.75,8800000.0,Software,107,Portland,OR,82242.9906542
Asentra,"new Date(2013,1,1)",123,29.63,12100000.0,Advertising & Marketing,24,Trumbull,CT,504166.666667
Advice Interactive Group,"new Date(2013,1,1)",130,28.08,3200000.0,Advertising & Marketing,31,McKinney,TX,103225.806452
Netcom3 Global,"new Date(2013,1,1)",131,27.73,23700000.0,Software,12,Laguna Niguel,CA,1975000.0
Videology,"new Date(2013,1,1)",136,27.27,137500000.0,Advertising & Marketing,321,Baltimore,MD,428348.909657
Finch,"new Date(2013,1,1)",145,25.93,2900000.0,Software,6,Lehi,UT,483333.333333
Hudl,"new Date(2013,1,1)",149,25.35,14100000.0,Software,73,Lincoln,NE,193150.684932
W4,"new Date(2013,1,1)",152,25.15,59800000.0,Advertising & Marketing,40,Santa Monica,CA,1495000.0
Mobomo,"new Date(2013,1,1)",158,24.84,2800000.0,Software,13,Bethesda,MD,215384.615385
Projekt202,"new Date(2013,1,1)",161,24.36,12500000.0,Software,73,Addison,TX,171232.876712
Alternative Technology Solutions,"new Date(2013,1,1)",166,24.07,8800000.0,Software,52,Aliso Viejo,CA,169230.769231
Extreme Reach,"new Date(2013,1,1)",171,23.49,41500000.0,Advertising & Marketing,203,Needham,MA,204433.497537
Act-On Software,"new Date(2013,1,1)",172,23.3,9200000.0,Software,140,Beaverton,OR,65714.2857143
Refinery29,"new Date(2013,1,1)",174,23.01,16600000.0,Media,99,New York,NY,167676.767677
Ticketracker,"new Date(2013,1,1)",178,22.67,2500000.0,Software,11,Anderson,IN,227272.727273
WordStream,"new Date(2013,1,1)",184,22.25,3400000.0,Advertising & Marketing,56,Boston,MA,60714.2857143
Ad-Juster,"new Date(2013,1,1)",186,22.18,2800000.0,Software,18,Poway,CA,155555.555556
Omatic Software,"new Date(2013,1,1)",189,21.92,5000000.0,Software,22,North Charleston,SC,227272.727273
Greenphire,"new Date(2013,1,1)",191,21.78,5400000.0,Software,42,King of Prussia,PA,128571.428571
AudioMicro,"new Date(2013,1,1)",204,20.53,2200000.0,Media,5,Sherman Oaks,CA,440000.0
OpenX,"new Date(2013,1,1)",222,19.21,154000000.0,Advertising & Marketing,264,Pasadena,CA,583333.333333
Quick Left,"new Date(2013,1,1)",223,19.17,2800000.0,Software,20,Boulder,CO,140000.0
WebPT,"new Date(2013,1,1)",231,18.37,8900000.0,Software,140,Phoenix,AZ,63571.4285714
TubeMogul,"new Date(2013,1,1)",239,18.03,53400000.0,Advertising & Marketing,125,Emeryville,CA,427200.0
iQuanti,"new Date(2013,1,1)",240,17.96,2500000.0,Advertising & Marketing,50,Hoboken,NJ,50000.0
TrendyMinds,"new Date(2013,1,1)",247,17.58,3700000.0,Advertising & Marketing,29,Indianapolis,IN,127586.206897
Gravity Media,"new Date(2013,1,1)",250,17.24,12400000.0,Advertising & Marketing,15,New York,NY,826666.666667
Transcend Media,"new Date(2013,1,1)",255,16.73,6700000.0,Advertising & Marketing,107,Greenacres,FL,62616.8224299
NUE Agency,"new Date(2013,1,1)",267,16.04,4500000.0,Media,4,New York,NY,1125000.0
Full Circle Marketing,"new Date(2013,1,1)",273,15.87,3400000.0,Advertising & Marketing,14,Ft. Lauderdale,FL,242857.142857
RosettaBooks,"new Date(2013,1,1)",280,15.49,3200000.0,Media,7,New York,NY,457142.857143
Bottle Rocket Apps,"new Date(2013,1,1)",284,15.29,10800000.0,Software,107,Dallas,TX,100934.579439
SET,"new Date(2013,1,1)",285,15.28,23700000.0,Advertising & Marketing,46,New York,NY,515217.391304
Column Five,"new Date(2013,1,1)",291,15.04,5300000.0,Media,42,Newport Beach,CA,126190.47619
ActivityRez,"new Date(2013,1,1)",292,14.81,5100000.0,Software,9,Honolulu,HI,566666.666667
Clickin Moms,"new Date(2013,1,1)",300,14.49,2800000.0,Media,10,Geneva,IL,280000.0
Reboot Marketing,"new Date(2013,1,1)",304,14.28,11800000.0,Advertising & Marketing,7,Nashville,TN,1685714.28571
ISBX,"new Date(2013,1,1)",320,13.45,5200000.0,Software,27,Los Angeles,CA,192592.592593
OneScreen,"new Date(2013,1,1)",321,13.44,15800000.0,Software,55,Irvine,CA,287272.727273
Seamgen,"new Date(2013,1,1)",323,13.28,3700000.0,Software,20,San Diego,CA,185000.0
Branding Brand,"new Date(2013,1,1)",332,13.02,8000000.0,Software,117,Pittsburgh,PA,68376.0683761
FuelFX,"new Date(2013,1,1)",334,12.91,2200000.0,Advertising & Marketing,31,Bellaire,TX,70967.7419355
ReverbNation,"new Date(2013,1,1)",345,12.57,13900000.0,Software,61,Durham,NC,227868.852459
SugarSync,"new Date(2013,1,1)",357,12.34,17300000.0,Software,70,San Mateo,CA,247142.857143
Magnet 360,"new Date(2013,1,1)",358,12.31,17100000.0,Advertising & Marketing,71,St. Louis Park,MN,240845.070423
Acceleration Partners,"new Date(2013,1,1)",359,12.27,3300000.0,Advertising & Marketing,15,Needham,MA,220000.0
Clearleap,"new Date(2013,1,1)",364,12.13,5500000.0,Software,35,Duluth,GA,157142.857143
Marketo,"new Date(2013,1,1)",367,12.05,58400000.0,Software,339,San Mateo,CA,172271.386431
Netsertive,"new Date(2013,1,1)",368,11.93,9000000.0,Advertising & Marketing,73,Morrisville,NC,123287.671233
"Re:think (Ramsey, NJ)","new Date(2013,1,1)",370,11.86,2900000.0,Advertising & Marketing,22,Ramsey,NJ,131818.181818
Evo Exhibits,"new Date(2013,1,1)",373,11.84,4500000.0,Advertising & Marketing,22,West Chicago,IL,204545.454545
Action Lead Solutions,"new Date(2013,1,1)",375,11.81,7900000.0,Advertising & Marketing,12,Chicago,IL,658333.333333
Martini Media,"new Date(2013,1,1)",376,11.77,17200000.0,Advertising & Marketing,50,San Francisco,CA,344000.0
Seven Swords Media,"new Date(2013,1,1)",386,11.56,8800000.0,Advertising & Marketing,29,Cranston,RI,303448.275862
Marketsmith,"new Date(2013,1,1)",389,11.38,28100000.0,Advertising & Marketing,23,Parsippany,NJ,1221739.13043
Adscend Media,"new Date(2013,1,1)",396,11.23,10900000.0,Advertising & Marketing,8,Austin,TX,1362500.0
Grok,"new Date(2013,1,1)",418,10.77,9400000.0,Advertising & Marketing,19,New York,NY,494736.842105
BoomTown,"new Date(2013,1,1)",431,10.58,8100000.0,Software,65,Charleston,SC,124615.384615
AdColony,"new Date(2013,1,1)",444,10.28,11300000.0,Advertising & Marketing,53,Los Angeles,CA,213207.54717
Rooster Park,"new Date(2013,1,1)",448,10.25,8200000.0,Software,53,Seattle,WA,154716.981132
Carrot Creative,"new Date(2013,1,1)",450,10.24,7200000.0,Advertising & Marketing,45,Brooklyn,NY,160000.0
PlayMaker CRM,"new Date(2013,1,1)",451,10.18,2200000.0,Software,20,Franklin,TN,110000.0
Brafton,"new Date(2013,1,1)",453,10.14,16700000.0,Advertising & Marketing,263,Boston,MA,63498.0988593
Classy Llama,"new Date(2013,1,1)",454,10.08,2400000.0,Advertising & Marketing,26,Springfield,MO,92307.6923077
Janrain,"new Date(2013,1,1)",455,10.08,5900000.0,Software,167,Portland,OR,35329.3413174
DB5,"new Date(2013,1,1)",456,10.07,5800000.0,Advertising & Marketing,27,San Marino,CA,214814.814815
Encompass Digital Media,"new Date(2013,1,1)",457,10.05,210400000.0,Media,1131,Stamford,CT,186030.061892
Add3,"new Date(2013,1,1)",462,10.0,5900000.0,Advertising & Marketing,18,Seattle,WA,327777.777778
GameSim,"new Date(2013,1,1)",466,9.92,2700000.0,Software,25,Orlando,FL,108000.0
Content Marketing Institute,"new Date(2013,1,1)",468,9.89,3100000.0,Media,2,Cleveland,OH,1550000.0
Workday,"new Date(2013,1,1)",469,9.84,273700000.0,Software,1550,Pleasanton,CA,176580.645161
RevLocal,"new Date(2013,1,1)",472,9.82,2500000.0,Advertising & Marketing,83,Mount Vernon,OH,30120.4819277
JESS3,"new Date(2013,1,1)",475,9.73,5600000.0,Advertising & Marketing,27,Los Angeles,CA,207407.407407
Basho Technologies,"new Date(2013,1,1)",476,9.73,5500000.0,Software,105,Cambridge,MA,52380.952381
Chief Executive Group,"new Date(2013,1,1)",484,9.37,4100000.0,Media,20,Greenwich,CT,205000.0
Owens Harkey Advertising,"new Date(2013,1,1)",491,9.31,3300000.0,Advertising & Marketing,22,Phoenix,AZ,150000.0
Five Data,"new Date(2013,1,1)",495,9.27,3500000.0,Advertising & Marketing,7,elmhurst,IL,500000.0
Largetail,"new Date(2013,1,1)",502,9.1,3700000.0,Advertising & Marketing,12,New York,NY,308333.333333
Square Root,"new Date(2013,1,1)",508,9.0,8100000.0,Software,17,Austin,TX,476470.588235
Mindgrub Technologies,"new Date(2013,1,1)",520,8.72,3000000.0,Software,34,Baltimore,MD,88235.2941176
Surface Magazine,"new Date(2013,1,1)",526,8.63,3900000.0,Media,14,New York,NY,278571.428571
MojoTech,"new Date(2013,1,1)",527,8.62,2300000.0,Software,25,Providence,RI,92000.0
Axiom EPM,"new Date(2013,1,1)",545,8.34,15100000.0,Software,78,Portland,OR,193589.74359
Bizo,"new Date(2013,1,1)",552,8.19,22100000.0,Advertising & Marketing,81,San Francisco,CA,272839.506173
Red Spot Interactive,"new Date(2013,1,1)",554,8.18,3200000.0,Advertising & Marketing,50,Jupiter,FL,64000.0
Left Brain DGA,"new Date(2013,1,1)",561,8.01,4300000.0,Advertising & Marketing,17,Portola Valley,CA,252941.176471
SpringAhead,"new Date(2013,1,1)",567,7.96,3700000.0,Software,25,San Francisco,CA,148000.0
LocalResponse,"new Date(2013,1,1)",568,7.94,3900000.0,Advertising & Marketing,25,new york,NY,156000.0
ActivEngage,"new Date(2013,1,1)",570,7.91,6400000.0,Software,116,Orlando,FL,55172.4137931
Internet Marketing,"new Date(2013,1,1)",571,7.91,13700000.0,Advertising & Marketing,60,san diego,CA,228333.333333
Cradle Solution,"new Date(2013,1,1)",573,7.89,3100000.0,Software,19,Houston,TX,163157.894737
TruEffect,"new Date(2013,1,1)",574,7.88,15900000.0,Advertising & Marketing,56,Westminster,CO,283928.571429
Blue Global,"new Date(2013,1,1)",584,7.76,38200000.0,Advertising & Marketing,32,Scottsdale,AZ,1193750.0
Prodege,"new Date(2013,1,1)",586,7.74,35500000.0,Advertising & Marketing,65,El Segundo,CA,546153.846154
Fluent,"new Date(2013,1,1)",591,7.71,5800000.0,Advertising & Marketing,39,Boston,MA,148717.948718
Ads Direct Media,"new Date(2013,1,1)",597,7.68,45200000.0,Advertising & Marketing,20,Palm Beach Gardens,FL,2260000.0
EagleView Technologies,"new Date(2013,1,1)",600,7.65,48500000.0,Software,165,Bothell,WA,293939.393939
ONTRAPORT,"new Date(2013,1,1)",603,7.61,4700000.0,Software,42,Santa Barbara,CA,111904.761905
Zambezi,"new Date(2013,1,1)",604,7.61,13100000.0,Advertising & Marketing,61,Venice,CA,214754.098361
Visual Logic Group,"new Date(2013,1,1)",606,7.58,4500000.0,Software,13,Waterloo,IA,346153.846154
Skava,"new Date(2013,1,1)",614,7.48,10200000.0,Software,200,San Francisco,CA,51000.0
Elemental Technologies,"new Date(2013,1,1)",615,7.47,21100000.0,Software,98,Portland,OR,215306.122449
Technossus,"new Date(2013,1,1)",620,7.41,4700000.0,Software,13,Irvine,CA,361538.461538
Indigo BioSystems,"new Date(2013,1,1)",623,7.37,4900000.0,Software,38,Indianapolis,IN,128947.368421
Rich Dealers,"new Date(2013,1,1)",624,7.34,5700000.0,Advertising & Marketing,30,Orlando,FL,190000.0
FastSpring,"new Date(2013,1,1)",642,7.15,95400000.0,Software,20,Santa Barbara,CA,4770000.0
Autoshop Solutions,"new Date(2013,1,1)",647,7.09,2200000.0,Advertising & Marketing,23,Apex,NC,95652.173913
Substantial,"new Date(2013,1,1)",650,7.07,6400000.0,Software,47,Seattle,WA,136170.212766
Moguldom Media Group,"new Date(2013,1,1)",653,7.03,10000000.0,Media,47,Ft. Lauderdale,FL,212765.957447
Marin Software,"new Date(2013,1,1)",663,6.91,59600000.0,Software,424,San Francisco,CA,140566.037736
World Web Partners,"new Date(2013,1,1)",665,6.9,16400000.0,Advertising & Marketing,22,Plantation,FL,745454.545455
HubSpot,"new Date(2013,1,1)",666,6.9,52300000.0,Software,429,Cambridge,MA,121911.421911
Touchstorm,"new Date(2013,1,1)",669,6.84,6700000.0,Media,46,New York,NY,145652.173913
Murphy Turner Associates,"new Date(2013,1,1)",671,6.8,9000000.0,Advertising & Marketing,30,Austin,TX,300000.0
VinSolutions,"new Date(2013,1,1)",672,6.79,57300000.0,Software,350,Overland Park,KS,163714.285714
Slingshot SEO,"new Date(2013,1,1)",675,6.76,10300000.0,Advertising & Marketing,81,Indianapolis,IN,127160.493827
Suzanne Evans Coaching,"new Date(2013,1,1)",680,6.73,4300000.0,Advertising & Marketing,8,Murrells Inlet,SC,537500.0
BuyCalls,"new Date(2013,1,1)",684,6.68,4200000.0,Advertising & Marketing,6,Southern Pines,NC,700000.0
ColdLight,"new Date(2013,1,1)",685,6.68,3100000.0,Software,18,WAYNE,PA,172222.222222
Application Development Resources,"new Date(2013,1,1)",686,6.65,49500000.0,Software,200,Alpharetta,GA,247500.0
Interticket USA,"new Date(2013,1,1)",690,6.63,2100000.0,Advertising & Marketing,8,Irvine,CA,262500.0
ymarketing,"new Date(2013,1,1)",691,6.62,39700000.0,Advertising & Marketing,37,Costa Mesa,CA,1072972.97297
Code 42 Software,"new Date(2013,1,1)",693,6.61,26300000.0,Software,172,Minneapolis,MN,152906.976744
Blue Corona,"new Date(2013,1,1)",694,6.6,3000000.0,Advertising & Marketing,21,Gaithersburg,MD,142857.142857
Underground Elephant,"new Date(2013,1,1)",695,6.59,24400000.0,Advertising & Marketing,65,San Diego,CA,375384.615385
FLM,"new Date(2013,1,1)",696,6.58,7900000.0,Advertising & Marketing,37,Worthington,OH,213513.513514
Thrillist Media Group,"new Date(2013,1,1)",701,6.52,52500000.0,Media,200,New York,NY,262500.0
HubShout,"new Date(2013,1,1)",707,6.48,2500000.0,Advertising & Marketing,25,Falls Church,VA,100000.0
Smule,"new Date(2013,1,1)",708,6.45,10900000.0,Software,67,San Francisco,CA,162686.567164
Driven Local,"new Date(2013,1,1)",709,6.45,7500000.0,Advertising & Marketing,28,Melville,NY,267857.142857
Citizen,"new Date(2013,1,1)",710,6.45,12300000.0,Advertising & Marketing,32,Portland,OR,384375.0
Kareo,"new Date(2013,1,1)",720,6.41,19500000.0,Software,164,Irvine,CA,118902.439024
Netmark.com,"new Date(2013,1,1)",721,6.4,4800000.0,Advertising & Marketing,64,Idaho Falls,ID,75000.0
360 Cloud Solutions,"new Date(2013,1,1)",727,6.31,2200000.0,Software,25,Scottsdale,AZ,88000.0
Vector Media Group,"new Date(2013,1,1)",728,6.3,2100000.0,Advertising & Marketing,12,New York,NY,175000.0
SMS Masterminds,"new Date(2013,1,1)",731,6.29,2400000.0,Software,8,San Luis Obispo,CA,300000.0
Livestream,"new Date(2013,1,1)",750,6.13,18900000.0,Media,146,New York,NY,129452.054795
Tableau Software,"new Date(2013,1,1)",757,6.05,127700000.0,Software,834,Seatle,WA,153117.505995
Dynamit Technologies,"new Date(2013,1,1)",759,6.02,3500000.0,Software,35,Columbus,OH,100000.0
PaperG,"new Date(2013,1,1)",765,5.96,7100000.0,Advertising & Marketing,30,San Francisco,CA,236666.666667
Spigit,"new Date(2013,1,1)",772,5.91,17400000.0,Software,125,Pleasanton,CA,139200.0
Rise Interactive,"new Date(2013,1,1)",781,5.83,19500000.0,Advertising & Marketing,72,Chicago,IL,270833.333333
iStrategyLabs,"new Date(2013,1,1)",787,5.79,4100000.0,Advertising & Marketing,23,Washington,DC,178260.869565
Innovative Advertising,"new Date(2013,1,1)",804,5.61,11200000.0,Advertising & Marketing,20,Mandeville,LA,560000.0
Fingerpaint,"new Date(2013,1,1)",815,5.55,9500000.0,Advertising & Marketing,51,Saratoga Springs,NY,186274.509804
RevolutionEHR,"new Date(2013,1,1)",816,5.53,3500000.0,Software,22,Madison,WI,159090.909091
Black Mountain Systems,"new Date(2013,1,1)",820,5.52,12800000.0,Software,63,San Diego,CA,203174.603175
Dash Two,"new Date(2013,1,1)",822,5.47,4300000.0,Advertising & Marketing,8,Culver City,CA,537500.0
Mission3,"new Date(2013,1,1)",823,5.46,2100000.0,Software,12,Phoenix,AZ,175000.0
Proforma Powerhouse Solutions,"new Date(2013,1,1)",827,5.44,2100000.0,Advertising & Marketing,3,Brooklyn Park,MN,700000.0
Stage 4 Solutions,"new Date(2013,1,1)",829,5.41,4100000.0,Advertising & Marketing,31,Saratoga,CA,132258.064516
Launchpad Advertising,"new Date(2013,1,1)",830,5.4,6600000.0,Advertising & Marketing,40,New York,NY,165000.0
Netwrix,"new Date(2013,1,1)",831,5.39,7400000.0,Software,92,Irvine,CA,80434.7826087
Textbroker International,"new Date(2013,1,1)",836,5.34,7200000.0,Advertising & Marketing,47,Las Vegas,NV,153191.489362
ExclusiveCPA,"new Date(2013,1,1)",839,5.33,4100000.0,Advertising & Marketing,5,Kaukauna,WI,820000.0
Meers Advertising,"new Date(2013,1,1)",849,5.25,7100000.0,Advertising & Marketing,22,Kansas City,MO,322727.272727
MentorMate,"new Date(2013,1,1)",861,5.21,6900000.0,Software,161,Minneapolis,MN,42857.1428571
Mail Shark,"new Date(2013,1,1)",864,5.18,5400000.0,Advertising & Marketing,25,Mohnton,PA,216000.0
ChaiOne,"new Date(2013,1,1)",872,5.12,3400000.0,Software,31,Houston,TX,109677.419355
No Limit Agency,"new Date(2013,1,1)",874,5.08,2100000.0,Advertising & Marketing,21,Chicago,IL,100000.0
Jama Software,"new Date(2013,1,1)",878,5.07,8600000.0,Software,65,Portland,OR,132307.692308
LiveLook,"new Date(2013,1,1)",889,5.0,2600000.0,Software,13,Matawan,NJ,200000.0
Optimatic,"new Date(2013,1,1)",896,4.97,8700000.0,Advertising & Marketing,8,new york,NY,1087500.0
aimClear,"new Date(2013,1,1)",898,4.94,4200000.0,Advertising & Marketing,23,Duluth,MN,182608.695652
IMS Internet Media Services,"new Date(2013,1,1)",899,4.93,73200000.0,Advertising & Marketing,129,Miami,FL,567441.860465
OuterBox Solutions,"new Date(2013,1,1)",900,4.92,2100000.0,Advertising & Marketing,30,Akron,OH,70000.0
Footage Firm,"new Date(2013,1,1)",915,4.81,7500000.0,Media,14,Reston,VA,535714.285714
L2TMedia,"new Date(2013,1,1)",923,4.75,16300000.0,Advertising & Marketing,37,Evanston,IL,440540.540541
N2 Publishing,"new Date(2013,1,1)",924,4.74,21300000.0,Media,70,Wilmington,NC,304285.714286
Day Online Solutions,"new Date(2013,1,1)",925,4.72,2100000.0,Advertising & Marketing,2,New Albany,IN,1050000.0
Atlas RFID Solutions,"new Date(2013,1,1)",926,4.71,7200000.0,Software,35,Birmingham,AL,205714.285714
RateSpecial Interactive,"new Date(2013,1,1)",928,4.69,23900000.0,Advertising & Marketing,35,Pasadena,CA,682857.142857
Tanis Communications,"new Date(2013,1,1)",958,4.53,2100000.0,Advertising & Marketing,7,San Jose,CA,300000.0
Punchkick Interactive,"new Date(2013,1,1)",959,4.52,2000000.0,Advertising & Marketing,27,Chicago,IL,74074.0740741
8th Light,"new Date(2013,1,1)",962,4.5,6600000.0,Software,46,Libertyville,IL,143478.26087
Contact At Once!,"new Date(2013,1,1)",967,4.46,12300000.0,Software,80,Alpharetta,GA,153750.0
WebMarketing123,"new Date(2013,1,1)",970,4.45,7700000.0,Advertising & Marketing,34,Emeryville,CA,226470.588235
WillowTree Apps,"new Date(2013,1,1)",978,4.4,4000000.0,Software,41,Charlottesville,VA,97560.9756098
SEOmoz,"new Date(2013,1,1)",981,4.39,21900000.0,Software,103,Seattle,WA,212621.359223
Benztown,"new Date(2013,1,1)",983,4.38,2100000.0,Media,12,Burbank,CA,175000.0
Votigo,"new Date(2013,1,1)",993,4.33,4000000.0,Software,42,Boulder,CO,95238.0952381
Tier10,"new Date(2013,1,1)",999,4.3,12200000.0,Advertising & Marketing,53,Herndon,VA,230188.679245
IfByPhone,"new Date(2013,1,1)",1001,4.29,10900000.0,Advertising & Marketing,80,Chicago,IL,136250.0
Inspira Marketing Group,"new Date(2013,1,1)",1006,4.28,12400000.0,Advertising & Marketing,27,Norwalk,CT,459259.259259
Resolute Digital,"new Date(2013,1,1)",1010,4.26,7100000.0,Advertising & Marketing,28,New York,NY,253571.428571
Ignite Social Media,"new Date(2013,1,1)",1015,4.23,13100000.0,Advertising & Marketing,101,Cary,NC,129702.970297
Retail Radio,"new Date(2013,1,1)",1018,4.23,3100000.0,Advertising & Marketing,19,Citrus Heights,CA,163157.894737
Position Logic,"new Date(2013,1,1)",1029,4.15,4400000.0,Software,41,Naples,FL,107317.073171
CDYNE,"new Date(2013,1,1)",1030,4.14,5300000.0,Software,69,Chesapeake,VA,76811.5942029
uSamp,"new Date(2013,1,1)",1042,4.07,43700000.0,Software,205,Encino,CA,213170.731707
Curbed Media,"new Date(2013,1,1)",1048,4.06,5100000.0,Media,45,New York,NY,113333.333333
